"DON'T call me stoopid, STOOPID","NO me llames estupidida, ESTUPIDIDO."
Wanna come? (Squints at you.) But you gotta be reeeally quiet. Reeeeally quiet.,¿Quieres venir? (Te mira de reojo). Pero tienes que ser muuuy silenciosa. Muuuuuuy silenciosa.
"It's not a pot, STUPID! It's my helmet!","¡No es una olla, ESTÚPIDA! ¡Es mi casco!"
"Call me stupid AGAIN, you little shit, and we'll see how well that 'helmet' protects you from a gaping head wound.","VUELVE a llamarme estúpida, mierdecilla, y veremos qué tal te protege ese 'casco' de los golpes en la cabeza."
Really? That's amazing. I may have to go out there sometime and see for myself. Bye.,¿En serio? Eso es asombroso. Puede que tenga que ir por allí en algún momento y verlo por mí misma. Adiós.
"I'll be quiet. Lead on, MacDuff.","Estaré tranquila. Vamos, MacDuff."
"Come along, and I'll show it to you. (Sneers.) If yer not SCARED.","Ven conmigo, y te lo enseñaré. (Se burla). Si no estás ASUSTADA."
You must have been tougher than Tommy the Balls to break the Enclave like you did.,Tienes que ser más dura que Tommy Pelotas para haberte cargado el Enclave como hiciste.
"Watch yer step around here, friend. This here's Wright Family territory.","Vigila tus pasos por aquí, amiga. Este es territorio de la Familia Wright."
"How're you, ",¿Cómo estás?
"Yer that fighter, ","Tú eres esa luchadora, "
", aincha? Yer good in the ring, best I ever seen in these parts.",", ¿verdad? Eres buena sobre el ring, la mejor que he visto por aquí."
"We could use a strong arm around town, if yer interested.","Podríamos necesitar un brazo fuerte en la ciudad, si estás interesada."
"They built you tough, no doubt.","Te hicieron dura, desde luego."
"Welcome to New Reno, the biggest little town in the world. Trashcan fires
 and neon signs bathe the city in a hellish glow.","Bienvenida a Nuevo Reno, la pequeña ciudad más grande del mundo. Bidones con hogueras
 y carteles de neón bañan la ciudad con un horroroso resplandor."
Lumpy,Grumoso
Gooch,Forro
Smiley,Sonrisas
Butcher,Carnicero
Stonewall,Muro de Piedra
Super Sledge,Super Trineo
Apollo,Apolo
Lady J,Dama J
Bruiser,Moratón
Slim,Esbelto
Pete McKneely,Pete McKneely
"Get off your asses and get in here, guys! We got an intruder!","¡Moved los culos y venid aquí, chicos! ¡Tenemos una intrusa!"
Medic!,Médico!
"All right, all right! Stop pushing!","¡Vale, vale! ¡Deja de empujar!"
"Well, excuuuuuuse me.","Vale, perdoooooona."
Ready to go?,¿Lista para continuar?
"Nevermind, Myron.","No importa, Myron."
I think I've heard enough.,Creo que ya he oído suficiente.
Bye-bye,A-dios.
"Guards ain't worth the chips you pay for 'em...well, my retarded friend, we've been introduced, so why don't you GET THE HELL OUTTA HERE NOW!","Los guardias no merecen las fichas que se pagaron por ellos... bien, mi retrasada amiga, ya nos hemos presentado, así que por que no ¡TE LARGAS DE AQUÍ DE UNA PUTA VEZ!"
I'm just a traveler passing through.,Sólo soy una viajera que está de paso.
"Hold on a minute. I haven't said yes yet. What can you do, Myron? I can't just have anyone traveling with me. I got standards.","Espera un minuto. Aún no he dicho que sí. ¿Qué sabes hacer, Myron? No puedo simplemente tener a alguien viajando conmigo. Tengo principios."
"Yeah, keep mouthing off, smartass. I could oxidize circles around you. I'm a natural. Self-taught. None of that bullshit Vault City 'purer-than-thou' 'tude, see?","Sí, sigue fanfarroneando, listilla. Yo podría oxidizar círculos a tu alrededor. Soy natural. Autodidacta. Nada de esa actitud gilipollesca de 'más puro-que-tú' de Ciudad Refugio, ¿vale?"
You're kind of weird...I like that.,Eres un poco raro... eso me gusta.
"You see a typical deathclaw. The creature is huge, with a powerful body, sharp teeth, and long
 claws.","Ves a la típica Garra mortal. La criatura es enorme, tiene un cuerpo poderoso, dientes afilados, y largas
 garras."
"Hello, human.","Hola, humana."
"Well, just passing the time.","Bueno, tan solo dejar pasar el tiempo."
"Welcome, traveler. I am called Gordon, and I am the Shrine Keeper. What can I help you with?","Bienvenida, viajera. Me llamo Gordon, y soy el Guardián del Santuario. ¿En qué puedo ayudarte?"
How long have you been here?,¿Cuánto tiempo has estado aquí?
That nice.,Qué agradable.
Uh... Okay.,Uh... Vale.
"You are a rude and verbally abusive individual. Perhaps if one of the guards were present with
 us, you would curb your tongue.","Eres grosera y verbalmente abusiva. Tal vez si uno de los guardias estuviera aquí presente,
 frenarías tu lengua."
Bring on your stooge! I can kick both your asses in the wink of an eye.,¡Trae a tu marioneta! ¡Puedo patearos el culo a ambos en un abrir y cerrar de ojos!
. Can I ask you some questions?,. ¿Puedo hacerte unas preguntas?
"Hello, I'm Goris. I don't recognize you; are you new here?","Hola, soy Goris. No te reconozco, ¿eres nueva aquí?"
"It's a pleasure to meet you,","Me alegro de conocerte, "
"So you're an outsider! I've seen a few like you; some are staying here in the vault, but you
 look different. You appear to be more 'seasoned,' if you know what I mean. I'll bet you've been around
 a bit and accomplished things. Am I right?","¡Así que eres una extranjera! He visto otros como tú; algunos siguen aquí en el Refugio, pero tú
 pareces distinta. Pareces más 'experimentada', si entiendes a que me refiero. Seguro que has estado por ahí
 haciendo un poco de todo. ¿Estoy en lo cierto?"
Uh... 'seasoned'?,Eh... '¿experimentada?'
Mind if I ask you some questions?,¿Te importa si te hago unas preguntas?
"I don't like traveling alone either, so I can't blame you.","A mí tampoco me gusta viajar sola, no te culpo."
"Gruthar is not the monster that he appears to be. He genuinely cares about all of us here, and
 is doing everything he can to ensure our safety and survival. All of us trust him with our lives. I
 don't know what else I can say about him. You would have to get to know him and judge for yourself.","Gruthar no es el monstruo que parece. Realmente se preocupa de todos nosotros, y
 está haciendo todo lo que puede por nuestra seguridad y supervivencia. Todos le confiaríamos nuestra vida.
 No sé qué más podría decir de él. Deberías conocerlo y juzgarlo por ti misma."
"Well... the potential is there, especially when you take their new intelligence into account.
 However, I don't think that Gruthar and his pack pose a threat. They all seem to respect life and
 personal freedom above all else. Now, I don't expect you to take my word on this. I would ask you to
 judge for yourself. There are others who live here whom you can ask your questions.","Bueno... el potencial esta ahí, especialmente si tienes en cuenta su nueva inteligencia.
 No obstante, dudo que Grunthar y su manada supongan una amenaza. Todos parecen respetar la vida y
 la libertad personal sobre cualquier otra cosa. De todas formas no espero que me creas. Te pido que juzgues
 por ti misma. Hay otros que viven aquí y pueden responder tus preguntas."
What? I'm not good enough for your company? Screw you!,¿Qué? ¿No soy suficientemente buena para acompañarte? !Que te jodan!
"Yeah, you know, well traveled... knowledgeable... experienced... You don't have a clue what I'm
 talking about, do you? ","Sí, ya sabes, muy viajada... con conocimientos... experimentada... no tienes ni idea de lo que estoy
 hablando, ¿verdad? "
"I'm sorry, Goris. I'm a bit jumpy today. I wanted to ask you a few questions, if you don't mind.","Lo siento, Goris. Estoy un poco nerviosa hoy. Quería hacerte algunas preguntas, si no te importa."
. Me new here.,. Aquí soy nueva.
"You are no idiot, human. I can see the truth of this in your eyes. Please do not try to deceive
 me. I have no patience for such games.","Tú no eres tonta, humana. Puedo ver la verdad en tus ojos. Por favor, no intentes engañarme.
 No tengo paciencia para tales juegos."
"Very well. If you wish to be thought of as an idiot, then so be it. Return to me if you change
 your mind.","Muy bien. Si deseas comportarte como una idiota, que así sea. Vuelve conmigo si cambias
 de opinión."
"My apologies. You seem to be intellectually challenged. You are no threat to me or the pack. You
 are welcome here, and may consider this place a safe haven from the outside world. Harm no one, stay
 out of trouble, and you will always be welcome here.","Mis disculpas. Pareces ser intelectualmente desafiante. No eres una amenaza para mí o la manada.
 Eres bienvenida aquí, y puedes considerar este lugar una zona segura de las amenazas del mundo exterior. No hagas daño a nadie, mantente
 lejos de los problemas, y siempre seras bienvenido aquí."
"Yes, I certainly can. Very well. If we part as friends, human, you should speak with Goris. He
 has more understanding in this matter than I. He can usually be found in the vault library.","Sí, sí puedo. Muy bien. Si nos despedimos como amigos, humana, deberías hablar con Goris. Él
 tiene más conocimientos sobre este tema que yo. Normalmente se le puede encontrar en la biblioteca del Refugio."
"They are gone, human. We did not kill them and take their home. It is not our way to kill. I
 understand that you may not believe me, but I hope that you will judge me by my actions toward you and
 not out of fear or prejudice.","Se fueron, humana. No los matamos y arrebatamos su hogar. Esa no es nuestra forma de actuar.
 Entiendo que no quieras creerme, pero espero que me juzgues por mis acciones hacia ti y
 no por miedos o prejuicios."
"(Gruthar stares at you intently for a moment.) You would be interested in helping us? Yes, I
 sense little evil in you. Very well, I shall place my trust in you.","(Gruthar te observa intensamente durante un momento) ¿Estarías interesada en ayudarnos? Sí, no
 noto maldad en ti. Muy bien, depositaré mi confianza en ti."
"I'm no tech, but I can give it a try.","No soy una técnico, pero puedo intentarlo."
"Hello again, human. I hope that you do not intend to play the fool with me.","Hola de nuevo, humana. Espero que no tengas la intención de hacerte la tonta conmigo."
"Greetings, human. Have you reconsidered? Will you help me?","Saludos, humana. ¿Lo has reconsiderado? ¿Me ayudarás?"
"Greetings, friend. Have you examined the machine yet?","Saludos, amiga. ¿Ya has examinado la máquina?"
"Hello, my friend. You have saved the pack and we thank you.","Hola, amiga mía. Has salvado a la manada y te damos las gracias."
"I have no quarrel with you, human, and I do not want one. I am trying to deal with you civilly.
 Please return the favor!","No tengo nada contra ti, humana, y nada quiero tener. Estoy intentando comportarme contigo civilizadamente.
 ¡Por favor, devuélveme esa cortesía!"
Blow me!,¡Que te jodan!
"(Gruthar emits a guttural series of growls) I may not own this place, human, but it is my home
 and the home of others who rely on me for their protection. Do not push me to the point that either of
 us will regret it!","(Gruthar emite una serie de gruñidos guturales). Puede que no sea dueño de este lugar, humana, pero es mi hogar
 y el de otros que me han confiado su protección. ¡No me fuerces hasta el punto de que uno de los
 dos se arrepienta!"
You are not welcome here at this time. You may leave.,No eres bienvenida aquí en este momento. Puedes irte.
"Apology accepted, human. Have a nice day!","Disculpas aceptadas, humana. ¡Que tengas un buen día!"
"Well... no offense, but are you sure you're qualified? Oh, never mind. You can't possibly make matters any worse than they already are. Go right ahead.","Bien... no te ofendas, pero ¿estás segura de estar cualificada? Oh, no importa. Seguro que no puedes hacer que las cosas empeoren más de lo que ya lo están. Adelante."
Me want talk mother.,Quiero hablar con madre.
"Mother say she talk to you. You go in. You not cause trouble. I not want hurt you, but I hurt
 you bad if you cause trouble.","Madre dice que habla contigo. Entra. No hagas problemas. No quiero hacerte daño, pero te hago daño
 si tú eres mala y haces problemas."
"Mother say she talk to you. You go in but you go alone; friends stay here. You not cause
 trouble. I not want hurt you, but I hurt you bad if you cause trouble.","Madre dice que habla contigo. Entras pero vas solo; amigos se quedan aquí. No hagas
 problemas. No quiero hacerte daño, pero te hago daño si tú eres mala y haces problemas."
"Is there something that I can help you with, stranger?","¿Puedo ayudarte en algo, extranjera?"
"I'm the person that's gonna kick your ass if you don't stop this cat nonsense and tell me your
 name.","Soy la que te va a patear el culo si no paras de hacer de jodido gato y me dices tu
 nombre."
"(Giggles) You look funny! Meow... I'm Sandy. I'm not really a cat. I just like to play like I
 am.","(Risitas) ¡Pareces graciosa! Miau... Soy Sandy. Realmente no soy un gato. Tan solo jugaba a 
 serlo."
"Greetings, human.","Saludos, humana."
Me human.,Yo humana.
Huh? I am well aware that you are human. I was inquiring about your name.,Eh? Soy consciente de que eres humana. Te estaba preguntando tu nombre.
"Not ask name, ask 'you are.' I are human.","No pregunto nombre, pregunto qué 'eres'. Yo humana."
"Sorry, I'll try to be more civil.","Lo siento, intentaré ser más civilizada."
Good day to you.,Que tengas un buen día.
"You are certain that the system should have a set of diagnostic routines available. However, the
 keyboard input seems to have been disabled. The unit accepts voice commands only. What do you do?","Estás segura de que el sistema debería tener un conjunto de rutinas de diagnóstico disponibles. Sin embargo, el
 teclado parece haber sido desactivado. La unidad sólo acepta comandos por voz. ¿Qué haces?"
Don't be silly. It isn't pollution that's harming the environment. It's the impurities in our air and water that are doing it.,No seas tonta. No es la polución lo que está dañando el medio ambiente. Son las impurezas de nuestro aire y nuestra agua las que lo están haciendo.
Guards! We've got another one loose.,¡Guardias! Tenemos a otra suelta.
I'm your worst nightmare-a mutant with a gun and an attitude.,Soy tu peor pesadilla: una mutante con un arma a la que todo se la trae al fresco.
"I don't see that there's much I need to talk about with a mutant. Soon, when real humans retake the planet for their own, you'll just be another unfortunate reminder of the war. ","No veo por qué tengo que hablar con una mutante. Pronto, cuando los auténticos humanos tomemos el planeta para nosotros, tú sólo serás un desafortunado recuerdo de la guerra. "
Real humans? What are you talking about? I'm as human as you are.,¿Auténticos humanos? ¿De qué demonios estás hablando? Yo soy tan humana como tú.
So what if our DNA is a little different?,¿Y qué tiene nuestro ADN de diferente?
"I'm tired of all your bull. Time to meet your maker, Dr. Death.","Estoy cansada de toda esta mierda. Es hora de conocer a tu hacedor, doctor Muerte."
"Isn't it obvious, my mutated friend? The F.E.V. is, thanks to me, a lethal toxin, and thanks to some mysterious genius named, rather dramatically, the Master, it only works on humans, mutated or not.","¿No es obvio, mi amiga mutante? El V.E.F es, gracias a mí, una toxina letal, y gracias a cierto misterioso genio llamado, de forma bastante melodramática, el Maestro, sólo funciona en humanos, mutados o no."
Get going!,¡Debes irte!
You'll never make it to free your people unless you're inoculated. What's the matter? Afraid of a little prick?,Nunca lograrás salvar a tu pueblo a menos que estés vacunada. ¿Cuál es el problema? ¿Le temes a un pequeño pinchazo?
You damn mutant.,Maldita mutante.
Red mutant!,¡Mutante roja!
I'm going past you whether you like it or not.,"Voy a pasar por encima de ti, lo quieras o no."
Dumping the F.E.V. toxin into our air doesn't make you a hero. You're just another mutant that needs to be put down.,Soltar la toxina V.E.F en los conductos de aire no te hace una heroína. Sólo eres otra mutante que debe ser aniquilada.
No loitering.,Prohibido estarse quieto.
"Can't park it here, bub.","No puedes pararte ahí, amiga."
"Keep your hands off our stack, Jack.","Mantén tus manos apartadas de nuestro montoncito, campeona."
"And I was just thinking how bored I am. Thanks, stranger.","Y sólo estaba pensando en lo aburrido que estoy. Gracias, forastera."
What a maroon. ,Menuda imbécil.
Ready to rumble?,¿Preparada para la juerga?
You dumbass.,Tonta del culo.
You loser.,Perdedora.
We don't want any trouble here friend. Put that away.,"No queremos problemas aquí, amiga. Aparta eso."
"Keep it in the holster, bub.","Mantenla enfundada, tía."
"Put that weapon away, pal.","Guarda ese arma, socia."
Welcome to Ascorti's.,Bienvenida al local de Ascorti.
"Man, I don't feel so great.","Amiga, no me encuentro muy bien."
"Psst, straighten up, the boss's looking.","Psst, ponte derecha, el jefe está mirando."
"Keep on movin', pal.","No te pares, amiga."
"If you're here to try your luck, you're welcome.","Si estás aquí para probar tu suerte, sé bienvenida."
"Hello there; welcome to the fine city of Redding...and welcome to my casino. Everyone's an Ace
 here at Ascorti's. I'm Ascorti, proprietor and mayor of this fine town.","Hola, amiga; bienvenida a la bonita ciudad de Redding... y bienvenida a mi casino. Todo el mundo es un ganador
 en el local de Ascorti. Yo soy Ascorti, el propietario y alcalde de este bonito pueblo."
What's going on here in town lately?,¿Qué está pasando últimamente por aquí?
"No catch. No catch at all. You just have to evict some of the squatters that have taken up
 residence there. No hardship at all for a rugged customer like yourself. I can tell you more if you'd
 like.","Ninguna trampa. Ninguna trampa en absoluto. Apenas tienes que desahuciar algunos intrusos que han tomado
 residencia allí. Nada difícil, después de todo, para una cliente robusta como tú. Puedo contarte más si quieres."
"I can't really do that. I'm not a real danger-seeking kind of guy. I know my strengths and
 fighting just isn't one of them. Now you, you look like a real tough hombre. This should be just up
 your alley.","Realmente no puedo hacerlo. Desde luego no soy un tipo amante del peligro. Conozco mis habilidades y,
 simplemente, luchar no es una de ellas. Ahora bien, tú pareces una tía dura de verdad. Debería resultar
 fácil para ti."
"You cleared out the whole mine. Thanks so much. Ready to sell me the deed? I'll give you $2,500
 for it.","Has limpiado la mina del todo. Muchas gracias. ¿Preparada para venderme la escritura? Te daré 2.500
 dólares por ella."
"You've got it. I knew you weren't as slow as you look. You can be right quick when you're of a
 mind to be.","Lo pillaste. Sabía que no eras tan lenta como parecías. Puedes ser bastante lista cuando te lo
 propones."
"I guess it's because he's got a reputation for croaking people. He's a real nasty customer who
 won't be missed...and you'll be a hero. You'd like to be a hero, wouldn't you?","Supongo que es porque tiene fama de croarle a la gente. Es un cliente realmente asqueroso al que
 nadie echará en falta... y tu serías una heroína. Te gustaría ser una heroína, ¿verdad?"
You ready to sell that Wanamingo Mine deed back to me yet?,¿Ya estás preparada para volver a venderme la escritura de la Mina Wanamingo?
I sure didn't feel good about what I did.,No me siento orgullosa de lo que he hecho.
"Had it coming? She weren't nothing but a little harmless old lady. You're plumb crazy. Just get
 out of here.","¿Que se lo estaba buscando? Pero si no era más que una ancianita indefensa. Eres una miserable de gatillo fácil. Lárgate
 de aquí."
"What? Are you deaf or just stupid? *I'm* talking to *you*, all right. Now get out!","¿Qué? ¿Eres sorda o simplemente tonta? *Estoy* hablando *contigo*. Bien, ahora ¡largo!"
"I hear you're working for Earl Marion as a sort of fill-in Sheriff until he gets better. That
 oughta keep your hands full for a while. Cain't think of any other real work for you in town, anyhow.","Tengo entendido que estás trabajando para Earl Marion como una especie de sheriff interino hasta que se mejore. Eso
 te mantendrá ocupada por un tiempo. No puedo pensar en otro tipo de trabajo para ti en el pueblo."
What about the mine owners?,Háblame de los dueños de la mina.
You and what army?,¿Tú y quién más?
Who the hell is this watching us?,¿Quién coño es esa que nos está mirando?
"Someone new. Hey, this is a private matter! Let's get 'em!","Alguien nuevo. ¡Eh, ésta es una cuestión privada! ¡Vamos a por ella!"
"What the hell are you going to do about it, you goddamn shit-heel?","¿Y qué coño piensas hacer, maldita imbécil?"
"Oh, I'm sorry. I certainly didn't mean to be rude. I'll be leaving now. Goodbye.","Oh, lo siento. No quise ser grosera. Ya me voy. Adiós."
That's it. I've had enough of your mouth. One last chance: Go quietly or I'll tear you apart.,Ya está. Ya has dicho bastante. Última oportunidad: vete sin hacer ruido o te haré trizas.
Get the hell out of here.,Sácame de aquí de una puta vez.
"Well, aren't you a goody-two-shoes. I don't think I like your tone, pal.","Bueno, desde luego no eres una santa. Creo que no me gusta tu tono, amiga."
"Aren't you tough. I don't think you can take us without people getting killed. You think the
 Sheriff is gonna like that?","No eres tan dura. No creo que puedas llevarnos sin que haya muertos. ¿Crees que le
 gustaría eso al sheriff?"
Welcome to the big city.,Bienvenida a la gran ciudad.
What happened to you?,¿Qué te pasa?
"I understand. Well, that's all I needed to know. Goodbye.","Entiendo. Bien, eso es todo lo que necesitaba saber. Adiós."
Of course. Let me ask you about something else.,De acuerdo. Déjame hacerte otra pregunta.
"Well, that's all I needed to know. Goodbye.","Bueno, eso es todo lo que necesitaba saber. Adiós."
"Uh, not really. Let me ask you something else.","Eh, la verdad es que no. Déjame hacerte otra pregunta."
I think that's all I need to know. Goodbye.,Creo que es todo lo que necesito saber. Adiós.
"Sounds bad. Let me ask you something else, then.","No suena bien. Pregúntame otra cosa, entonces."
What do you mean? What happened?,¿Qué quieres decir? ¿Qué ocurre?
"Nope, never heard of anything like that. Tell me about them.","No, nunca he oído nada. Háblame de ellos."
"Well, good for you, I guess. Let me ask you something.","Bueno, bien por ti, supongo. Déjame preguntarte otra cosa."
"Interesting. Well, I'll leave you to your recovery. Goodbye.","Interesante. Bien, dejaré que te recuperes. Adiós."
I better go find something to help me stay awake. Goodbye.,Mejor que encuentre algo que me ayude a estar despierta. Adiós.
"Ascorti's the Mayor of Redding. But I don't rightly know where he is. Haven't seen him around
 for a stretch.","Ascorti es el alcalde de Redding. Pero no sé bien donde está. No lo he visto en los alrededores
 durante un tiempo."
I think I've listened to you long enough. Goodbye.,Creo que ya he escuchado bastante. Adiós.
"Jet's the way to go, man. If I'm not flying Jet, I just don't feel right no more. You've gotta
 get yourself some.","El Jet es el camino a seguir, muchacha. Si no estoy colocado con Jet, no me siento nada bien. Deberías conseguir un poco para ti."
"Sure, sorry. Let me ask you something else.","Claro, lo siento. Déjame preguntarte otra cosa."
"Hello, I'm Doc Johnson, and my professional opinion is that you're looking a mite poorly. Need
 me to fix you up?","Hola, soy Doc Johnson, y en mi opinión profesional tienes pinta de estar un poco pachucha. ¿Necesitas
 que te haga un apaño?"
It's going to cost $50 to patch you up good as new.,Te va a costar 50 dólares parchearte y dejarte como nueva.
I see. Let me ask you about something else.,Ya veo. Deja que te pregunte algo más.
"I'll thank you not to use such heavy sarcasm when you say that. Call it nobility if you like; I
 prefer practicality. The mine owners pay me a stipend to keep the miners relatively healthy and able to
 work. If I let someone else work with the Jet, I'd never be able to do the job I'm paid to do.","Te agradecería que no fueras tan sarcástica cuando dices eso. Llámalo nobleza si quieres; yo
 prefiero ""sentido práctico"". Los propietarios de las minas me pagan un salario para mantener a los mineros relativamente sanos y capacitados para
 trabajar. Si dejase que cualquier otro elaborase el Jet, nunca sería capaz de hacer el trabajo por el que me pagan."
"You need to have the Dermal Impact Armor installed before I can give you the Assault
 Enhancement. But I'll tell you what it should do. The Assault Enhancement should give you a total of
 10% resistance to normal and explosive damage - over and above any other armor you're wearing. The
 operation takes a few days and it'll cost you $30,000. In addition, you're not going to be too
 Charismatic after I finish. Cramming all those impact plates under your skin is going to make you look
 pretty damn angular, but in a very streamlined way. But who doesn't like the way a new car looks - I'll
 try not to give you tail-fins.","Necesitas tener instalada la armadura dérmica de impacto antes de que te pueda proporcionar la mejora
 de asalto. Pero te diré lo que supondría. La mejora de asalto te daría un total de un
 10% de resistencia al daño normal y explosivo, añadido a cualquier otra armadura que lleves. La
 operación necesita unos cuantos días y te costará 30.000 dólares. Además, no vas a ser demasiado
 carismática después de que termine. Acumular todas esas placas de impacto bajo tu piel va a darte un aspecto
 anguloso de cojones, pero de forma muy aerodinámica. Pero a quién no le gusta el aspecto de un coche nuevo: intentaré
 no dejarte aletas."
"The Assault Enhancement of the Phoenix Armor Implants should give you a total of 10% resistance
 to thermal damage (fire, laser, and plasma) - over and above any other armor you're wearing. The
 operation takes a few days and it'll cost you $48,000. In addition, you're not going to be too
 Charismatic after I finish. Cramming all those impact plates under your skin is going to make you look
 a bit lumpy, sort of like an overstuffed burrito. Ready to begin?","La mejora de asalto de la armadura de implantes Phoenix debería darte un total de un 10% de resistencia
 al daño termal (fuego, láser, y plasma), añadido a cualquier otra armadura que lleves. La
 operación necesita unos cuantos días y te costará 48.000 dólares. Además, no vas a ser demasiado
 carismática después de que termine. Instalar todos esos disipadores termales bajo tu piel te va a dar un aspecto
 un poco abultado, como una especie de burrito demasiado relleno. ¿Lista para empezar?"
"I wouldn't have thought that your skin could accommodate so many of those impact plates, but
 you're ready for action now. You not only look sort of like Frankenstein, but you should be as tough as
 him as well. Uh, try to stay out of the sun until most of the scabs slough off.","No hubiera creído que tu piel podría acomodar tantas de esas placas de impacto, pero
 ya estás lista para la acción. No sólo pareces una Frankenstein, sino que deberías ser tan dura como
 él también. Eh, intenta mantenerte lejos del sol hasta que la mayoría de las costras se desprendan."
"Jet's the only thing that makes me fly. ./~Come fly with me ./~ Give me a little something
 special, won'tcha?","El Jet es lo único que me hace volar. [Canta] ""Ven a volar conmigo"". Me darás algo
 especial, ¿verdad?"
You're 'bout as smart as bait. Ain't ya?,"Eres igual de lista que un cebo de pesca, ¿verdad?"
"A cure? What, are you crazy? Do I look like I want to be cured? You want to make me feel better,
 sugar? Give me some more Jet.","¿Una cura? ¿Te has vuelto loca? ¿Te parece que quiera que me curen? ¿Quieres hacerme sentir mejor,
 cariño? Dame un poco más de Jet."
"Well, aren't you sweet. Acting so bashful and all. It's going to cost you $60 for a visit with
 me, sugah.","Vaya, qué dulce. Tan tímida. Te costará 60 dólares visitarme,
 cariño."
"You've been so nice to me. I felt that you really meant something when you did that. (sob) I
 sure wish it was like that all the time.","Has sido tan buena conmigo... Sentí que realmente significaba algo cuando lo hiciste (solloza). 
 Ojalá fuera así todo el tiempo."
I don't think that's for me. Goodbye.,No creo que eso sea para mí. Adiós.
"Did you really think that I'd reward a thief? You're lucky that you weren't lynched on the
 trail. I won't pay you anything. Now get out.","¿De verdad piensas que voy a recompensar a una ladrona? Tienes suerte de que no te linchemos. 
No pienso pagarte nada. Y ahora, desaparece."
"A thief? I resemble that remark, you damn ingrate! I'm leaving. Goodbye.","¿Una ladrona? Ese comentario me ofende, maldito ingrato. Me voy. Adiós."
"Someday soon, you'll regret crossing me. Goodbye.","Algún día, desgraciadamente, volveremos a encontrarnos. Adiós."
You cheap bastard! You'll pay for stiffing me. Goodbye.,¡Maldito rácano! Lamentarás haberme timado. Adiós.
"Well, sometimes you just get luckier than others. This was one of the unlucky times. Goodbye.","Bueno, unas veces tienes más suerte que otras. Esta ha sido una de las desafortunadas. Adiós."
"Well, something is better than nothing, I guess. Goodbye.","Bueno, supongo que eso es mejor que nada. Adiós."
I don't think I ever want to spend so much time looking at the ass-end of a brahmin again. Goodbye.,No creo que quiera perder más tiempo mirando el culo de un brahmin otra vez. Adiós.
That wasn't too bad at all. See you later. Goodbye.,No ha estado mal después de todo. Nos vemos luego. Adiós.
"Nice to find someone who appreciates quality when he sees it. See you around, maybe. Goodbye.",Es bueno encontrar a alguien que aprecia la calidad cuando la ve. Espero volver a verte. Adiós.
"Always glad to make some extra money. Thanks, and goodbye.","Siempre alegra conseguir algo de dinero extra. Gracias, y adiós."
"Back off, bub.","Déjame en paz, zorra."
You see a tippler.,Ves a un borrachuzo.
"Hello, stranger.","Hola, forastera."
"Thanks, stranger.","Gracias, forastera."
"Not bad for a tribal, I say.",No está mal para una tribal.
You're my best friend.,Eres mi mejor amiga.
You're the best.,Eres la mejor.
What a friend.,Vaya amiga.
Get 'im!,¡Atrapadla!
Maim the bastard!,¡Lisiad a la zorra!
"Hey there, mister.","Hola, señora."
Whatcha doing mister?,"¿Qué está haciendo, señora?"
Are you a cannibal?,¿Es usted una caníbal?
You're funny looking.,Eres muy rara.
No room 'ere for the likes o' you.,No hay habitaciones aquí para la gentuza como tú.
Whatcha gawkin' at?,¿Qué haces ahí parada?
"I'm saving a flat-headed nail for you, guv.","Tengo reservado un clavo de ataúd para ti, chavalita."
You're smarter than you look.,Eres más astuta de lo que pareces.
"I can take care of myself. Right now I'm the Sheriff in these here parts, and I'm taking you in.","Puedo cuidar de mí misma. Ahora mismo soy la sheriff de este lugar, y te voy a llevar conmigo."
"You're not quite smart enough to grunt, are you?","No eres lo bastante lista como para gruñir, ¿verdad?"
"We run caravans all over the fricking place. Let me tell you: We've got gold ore going out to
 Vault City, we've got some going out to New Reno (ooo-la-la, if ya know what I mean), and we've even
 got some going to those prissy bastards in the NCR.","Enviamos caravanas a cualquier jodido lugar. Déjame que te lo explique: tenemos oro que va a
 Ciudad Refugio, tenemos cosas que van a Nuevo Reno (oh la la, si sabes a lo que me refiero), e incluso
 tenemos cosas que van a esos remilgados bastardos de RNC."
What can you tell me about New Reno?,¿Qué puedes contarme sobre Nuevo Reno?
"Vault City (Jimmy spits disdainfully). Yeah, I'll tell you about those sons-of-bitches. Fucking
 bastards are too good for the rest of us. They only trade medicine to us because they need our gold.
 Otherwise they'd just let us all rot. I wouldn't spend too much time there, kid. But if you want to see
 it, Ben Wade heads out from here on the 1st of every month.","Ciudad Refugio (Jimmy escupe con desprecio). Sí, te hablaré de esos hijos de puta. Los jodidos
 bastardos son demasiado buenos para el resto de nosotros. Sólo comercian con medicamentos con nosotros porque necesitan nuestro oro.
 De lo contrario, dejarían que nos pudriéramos. Yo no malgastaría mi tiempo ahí, muchacha. Pero si quieres verlo por ti
 misma, Ben Wade viaja allí desde aquí el día 1 de cada mes."
"The New California Republic is just full of self-righteous sons-of-bitches. They've got
 everything down their way all straightened out all right. A little too straight. They're as self
 righteous a bunch as you could ever meet. Stanwell runs a caravan from here to the NCR on the 11th of
 each month.","La República de Nueva California no está más que llena de hijos de puta mojigatos. Todo lo
 llevan a su manera, todo bien recto. Un poco demasiado recto. Son tan
 santurrones como nunca te habrás topado otros. Stanwell sale de aquí con una caravana hasta la RNC el día 11 de
 cada mes."
